순번	영상ID	제목	길이	상태
50	cgSYj5_gF60	공포가 끌어올린 강남 부동산, 이재명 정부 정책 변수는? (분전 아카데미 김건우 대표)	67분	
51	3acOnOP3mWQ	학교가 재건축의 폭탄이 될 겁니다 (언더스탠딩 장순원 기자)	37분	
52	hAv7tMwjr58	금싸라기 땅 아파트는 왜 흉물이 됐나 (언더스탠딩 장순원 기자)	27분	
53	vDwU9LnWoR8	엉망진창 재건축초과이익 환수제 논란 확산 (언더스탠딩 장순원 기자)	31분	
54	ggg1OzgSOcI	재개발 잘못 들어갔다가 아파트 한채 날렸습니다 (언더스탠딩 장순원 기자)	29분	
55	wX_q-0ctZrQ	조기 대선이 집값에 이런 영향을 미칠 겁니다 (분전 아카데미 김건우 대표)	69분	
56	5qab_xMP61k	제자리 재건축 뭐길래, 분당 재건축 난리났습니다 (언더스탠딩 장순원 기자)	26분	
57	sfNclkqYDPA	정부가 대출을 줄이는 대신 '지분형 모기지'란 걸 해주겠다고 합니다 (언더스탠딩 김상훈 기자)	28분	
58	ZuvWBkA2pbM	새 아파트에 골치 아픈 문제가 숨어 있습니다 (언더스탠딩 장순원 기자)	40분	
59	j-LqwxDzyV0	공사 0% GTX-C 망했을지도 모릅니다 (언더스탠딩 백종훈 기자)	32분	
60	PxB_s_qQfKg	끝없는 둔촌주공, 무서운 통지서 날아왔습니다 (언더스탠딩 장순원 기자)	22분	
61	U4oWUus2pjg	GTX가 아파트 스쳤더니 황당한 일이 벌어졌습니다 (언더스탠딩 장순원 기자)	27분	
62	jrWdgMfzGRc	강남 아파트가 파산하겠답니다. 대체 무슨 일이 벌어진 걸까요? (언더스탠딩 장순원 기자)	32분	
63	ZRbmMC5L5BE	서울 상급지 아파트 미치도록 오르는 이유 (분전 아카데미 김건우 대표)	65분	
64	fu8dhBBfZNQ	은행이 대출을 잘 해줄까? 부동산 대출 브레이크, 올해도 또 걸릴 겁니다 (라이프자산운용 배문성 팀장)	55분	
65	VLdxB_nYRys	묶어 뒀던 그린벨트 지방은 확 푸는 이유 (언더스탠딩 백종훈 기자)	25분	
66	FwqSiz9QeQQ	서울도 뉴욕처럼 남는 용적률 사고파는 이유 (언더스탠딩 장순원 기자)	31분	
67	CN_x0096y9Q	한국 주담대 변동금리 상품만 판치는 이유 (언더스탠딩 김상훈 기자)	36분	
68	-lsrKrqw1ww	미분양 아파트 쌓이는 지방, 대출 풀어도 효과 없는 이유 (언더스탠딩 백종훈 기자)	34분	
69	HBwAFfi8EMo	끝없는 공사비 분쟁, 왜 자꾸 반복될까 (언더스탠딩 장순원 기자)	42분	
70	Nhli9rtZYdY	강남 아파트 족쇄가 풀렸습니다 이 시점에 왜? (언더스탠딩 백종훈 기자)	32분	
71	QA9qx_BvIPg	건설사가 뻥튀기 청구서 내미는 진짜 이유 (언더스탠딩 장순원 기자)	37분	
