날짜,제목,발표자,소속,원제목,링크
2026-08-20,Infra behind Krea 2: How to train and serve at scale,Gabriel Jorge Menezes,Krea.ai,"Infra behind Krea 2: How to train and serve at scale — Gabriel Jorge Menezes, Krea.ai",https://youtu.be/byn9PURoBNY
2026-08-20,Generative Video at the Speed of Light,Keegan McCallum,uRun,"Generative Video at the Speed of Light — Keegan McCallum, uRun",https://youtu.be/Xln-On3syJk
2026-08-20,Voice agents with Realtime Video,Sidney Primas,LemonSlice,"Voice agents with Realtime Video — Sidney Primas, LemonSlice",https://youtu.be/z1dqv74SpUs
2026-08-20,While my guitar gently speaks,Todd Fisher,Philo Ventures,"While my guitar gently speaks — Todd Fisher, Philo Ventures",https://youtu.be/E_Txocq-Lrw
2026-08-19,The Next Game Engine Won't Have a Manual,Arturo Nunez,Nereu,"The Next Game Engine Won't Have a Manual — Arturo Nunez, Nereu",https://youtu.be/VBCDhRrvlYo
2026-08-19,Building an Agentic Video Editor for Mass Consumer,Ekaterina Deyneka,Reelful,"Building an Agentic Video Editor for Mass Consumer — Ekaterina Deyneka, Reelful",https://youtu.be/pPj_tjlvYjA
2026-08-19,Training Krea 2: What matters in generative model training,Sangwu Lee,Krea.ai,"Training Krea 2: What matters in generative model training — Sangwu Lee, Krea.ai",https://youtu.be/-tviRdpmHvs
2026-08-19,How to Kill the Code Review,Ankit Jain,Aviator,"How to Kill the Code Review — Ankit Jain, Aviator",https://youtu.be/YgEv7IQzGdM
2026-08-19,Security Firewall for Agents,Ryan Dahl,Deno,"Security Firewall for Agents — Ryan Dahl, Deno",https://youtu.be/MkRYPFIMCSA
2026-08-19,Context Engineering in 2026,Louis-François Bouchard,"Omar Solano & Samridhi Vaid, Towards AI","Context Engineering in 2026 — Louis-François Bouchard, Omar Solano & Samridhi Vaid, Towards AI",https://youtu.be/WP3hjUXd918
2026-08-16,How Web Data Infrastructure Powers the Next Generation of AI,Patricija Žemaitytė,Oxylabs,"How Web Data Infrastructure Powers the Next Generation of AI — Patricija Žemaitytė, Oxylabs",https://youtu.be/1UmZHb_E_SM
2026-08-16,The Rise of CaaS: Context-as-a-Service for Agentic AI,Omer Primor,Bright Data,"The Rise of CaaS: Context-as-a-Service for Agentic AI — Omer Primor, Bright Data",https://youtu.be/Ot4OPrPH4xY
2026-08-16,From RL to IRL,Gaurav Mishra,Amazon AGI Lab,"From RL to IRL — Gaurav Mishra, Amazon AGI Lab",https://youtu.be/Cc0_nyxROBA
2026-08-16,The Dark Arts of Web Automation: Teaching Agents to Use Websites Like Humans,Corey Gallon,Rexmore,"The Dark Arts of Web Automation: Teaching Agents to Use Websites Like Humans — Corey Gallon, Rexmore",https://youtu.be/26RtyAm9y_Q
2026-08-15,Bringing agents onto the world wide web,Paul Klein IV,Browserbase,"Bringing agents onto the world wide web — Paul Klein IV, Browserbase",https://youtu.be/GqoNrUz8hEU
2026-08-15,Computer Use at the Edge of the Statistical Precipice,Pierluca D'Oro,Programma Labs,"Computer Use at the Edge of the Statistical Precipice — Pierluca D'Oro, Programma Labs",https://youtu.be/CTLa_p6iOiY
2026-08-15,"Computer-use models will agentify the web, not APIs",Dhruv Batra,Yutori,"Computer-use models will agentify the web, not APIs — Dhruv Batra, Yutori",https://youtu.be/Ki980nV0__0
2026-08-14,Improving Agents is a Data Mining Problem,Vivek Trivedy,LangChain,"Improving Agents is a Data Mining Problem — Vivek Trivedy, LangChain",https://youtu.be/CvRngaQZQ3Y
2026-08-14,Lessons from Studying Every Memory System,Shlok Khemani,Independent,"Lessons from Studying Every Memory System — Shlok Khemani, Independent",https://youtu.be/5ZGyKWjQDr0
2026-08-14,Designing Agents (The Floor Is the Frontier),Ben Hylak,Raindrop,"Designing Agents (The Floor Is the Frontier) — Ben Hylak, Raindrop",https://youtu.be/jHMiYtjoJfA
2026-08-14,Bringing Continual Learning into Enterprises,Samuel Denton,Applied Compute,"Bringing Continual Learning into Enterprises — Samuel Denton, Applied Compute",https://youtu.be/ZTA0GwpAUak
2026-08-14,LLM Knowledge Bases: a practical guide,Ben Holmes,Warp,"LLM Knowledge Bases: a practical guide — Ben Holmes, Warp",https://youtu.be/I3bpdgFJCUY
2026-08-14,Adaption Labs: Gradient-Free Continual Learning,Sara Hooker,Adaption,"Adaption Labs: Gradient-Free Continual Learning — Sara Hooker, Adaption",https://youtu.be/XEd_SRVHBgU
2026-08-14,Intelligence + Continual Learning = Expertise,Yu Su,NeoCognition,"Intelligence + Continual Learning = Expertise — Yu Su, NeoCognition",https://youtu.be/I6aiEf3aEFQ
2026-08-14,Scaling Compute on Context,Jack Morris,Engram,"Scaling Compute on Context — Jack Morris, Engram",https://youtu.be/WiqDvX6isc4
2026-08-13,Memory Harnesses for Long-Running Research Agents,Stefania Druga,Sakana.ai,"Memory Harnesses for Long-Running Research Agents — Stefania Druga, Sakana.ai",https://youtu.be/R3-anFK1YM8
2026-08-13,Scaling up Continual Learning,Ronak Malde,Trajectory,"Scaling up Continual Learning — Ronak Malde, Trajectory",https://youtu.be/zL1kLftVTlo
2026-08-13,Beyond Static Intelligence: Evaluating Continual Learning,Parth Asawa,UC Berkeley,"Beyond Static Intelligence: Evaluating Continual Learning — Parth Asawa, UC Berkeley",https://youtu.be/iqloyWCGYQQ
2026-08-13,Anthropic's Applied AI team on the Evolution of Agentic Surfaces,,,Anthropic's Applied AI team on the Evolution of Agentic Surfaces,https://youtu.be/K0X9QDRkIdg
2026-08-12,"Agents, codebases, and teams",Aditya Khandelwal,Amazon AGI Lab,"Agents, codebases, and teams — Aditya Khandelwal, Amazon AGI Lab",https://youtu.be/aeTb5BdmTTc
2026-08-12,Taking Reinforcement Learning Cross Datacenter,Nan Jiang,Modal,"Taking Reinforcement Learning Cross Datacenter — Nan Jiang, Modal",https://youtu.be/maRzp4kImJ4
2026-08-12,"Codex, Behind the Harness",Dominik Kundel,OpenAI,"Codex, Behind the Harness — Dominik Kundel, OpenAI",https://youtu.be/shRR1e2HXMk
2026-08-12,Multiplayer agentic engineering,Arjun Singh,Superconductor,"Multiplayer agentic engineering — Arjun Singh, Superconductor",https://youtu.be/OL7kfezynJM
2026-08-12,"Guide, Verify, Solve",Anirban Chatterjee,Sonar,"Guide, Verify, Solve — Anirban Chatterjee, Sonar",https://youtu.be/03l29gJXpCE
2026-08-12,Velocity Sickness: What Happens When Your Whole Team Gets 10x Faster,Matt Dailey,Ref.,"Velocity Sickness: What Happens When Your Whole Team Gets 10x Faster — Matt Dailey, Ref.",https://youtu.be/Kz4QJmNrVXU
2026-08-12,Always-on agents run production without the on-call tax,Justin Smith,Resolve AI,"Always-on agents run production without the on-call tax — Justin Smith, Resolve AI",https://youtu.be/vSx5IULvBns
2026-08-12,"Realtime multiplayer, automation, and you!",Idan Gazit,GitHub,"Realtime multiplayer, automation, and you! — Idan Gazit, GitHub",https://youtu.be/iQ5xldZ9StU
2026-08-12,Benchmarking Coding Agents on New vs Legacy Codebases,Denys Linkov,Wisedocs,"Benchmarking Coding Agents on New vs Legacy Codebases — Denys Linkov, Wisedocs",https://youtu.be/7vn4WpqNpck
2026-08-12,Anthropic's CCA Exam as a Field-Guide for Agentic Engineering,Frank Coyle,UC Berkeley,"Anthropic's CCA Exam as a Field-Guide for Agentic Engineering — Frank Coyle, UC Berkeley",https://youtu.be/Z-c11pV_uvU
2026-08-12,The New Primitives: Building AI Native Software,Kwindla Kramer,Daily,"The New Primitives: Building AI Native Software — Kwindla Kramer, Daily",https://youtu.be/LZuWZRze3MU
2026-08-12,Open Source Is Dead. Long Live Open Source.,Saoud Rizwan,Cline,"Open Source Is Dead. Long Live Open Source. — Saoud Rizwan, Cline",https://youtu.be/CoEIs6Xm8m8
2026-08-12,"Local Models: Trust, Control, Optimization",Carter Abdallah,NVIDIA,"Local Models: Trust, Control, Optimization — Carter Abdallah, NVIDIA",https://youtu.be/FWMJQDH3iK0
2026-08-12,Compression at the Edge,NVIDIA,"Unsloth, HuggingFace, Ollama","Compression at the Edge — NVIDIA, Unsloth, HuggingFace, Ollama",https://youtu.be/J4_jCrTxMkk
2026-08-12,The State of Model Routing,NVIDIA,"Cognition, OpenRouter","The State of Model Routing — NVIDIA, Cognition, OpenRouter",https://youtu.be/QHBjufYK8TA
2026-08-12,Gadgets: Personal app vibe coding that is actually safe,Kenton Varda,Cloudflare,"Gadgets: Personal app vibe coding that is actually safe — Kenton Varda, Cloudflare",https://youtu.be/RmS5s6Wbin4
2026-08-05,Building Turbopuffer: Gergely Orosz (@pragmaticengineer ) × Simon Eskildsen,CEO,,Building Turbopuffer: Gergely Orosz (@pragmaticengineer ) × Simon Eskildsen (CEO),https://youtu.be/jQDXzEVHMSE
2026-08-05,MCP Apps: Extending the Frontier,Ido Salomon & Liad Yosef,,MCP Apps: Extending the Frontier — Ido Salomon & Liad Yosef,https://youtu.be/-jY2T2PiJBE
2026-08-05,MCP Tasks (async): Why Aren't Any Agents Supporting Them?,Cornelia Davis,Temporal,"MCP Tasks (async): Why Aren't Any Agents Supporting Them? — Cornelia Davis, Temporal",https://youtu.be/s4r6nk5WsZw
2026-08-05,When Will The Benchmaxxing Plague End?,Nick Heiner,Surge AI,"When Will The Benchmaxxing Plague End? — Nick Heiner, Surge AI",https://youtu.be/-npY6XjM8CQ
2026-08-05,Teaching AI to Find Real Vulnerabilities,Prof. David Brumley,Bugcrowd,"Teaching AI to Find Real Vulnerabilities — Prof. David Brumley, Bugcrowd",https://youtu.be/ZFxh7sqbUZo
2026-08-05,Rethinking Environments for Long-Horizon Work,Rayan Garg,Theta Software,"Rethinking Environments for Long-Horizon Work — Rayan Garg, Theta Software",https://youtu.be/2aS7aKoXn64
2026-08-05,What's Next After RLHF?,Diogo Almeida,TypeSafe AI,"What's Next After RLHF? — Diogo Almeida, TypeSafe AI",https://youtu.be/cJ0EOzey--o
2026-08-05,Data Quality Is the Compute Multiplier,Ari Morcos,DatologyAI,"Data Quality Is the Compute Multiplier — Ari Morcos, DatologyAI",https://youtu.be/_PdK6x7PQNM
