날짜,제목,발표자,소속,원제목,링크
2026-07-26,GTM Is You,Victoria Melnikova,Evil Martians,"GTM Is You - Victoria Melnikova, Evil Martians",https://youtu.be/G6IlDzj8OjA
2026-07-26,Beyond the Harness: A Journey Towards Adaptative Engineering,Rajiv Chandegra,Annicha Labs,"Beyond the Harness: A Journey Towards Adaptative Engineering - Rajiv Chandegra, Annicha Labs",https://youtu.be/qdZzND79mcg
2026-07-26,How we taught agents to use good retrieval,Hanna Lichtenberg,Mixedbread AI,"How we taught agents to use good retrieval - Hanna Lichtenberg, Mixedbread AI",https://youtu.be/1IdzkRVmWAA
2026-07-26,What if the harness mattered more than the model?,Aditya Bhargava,Etsy,"What if the harness mattered more than the model? - Aditya Bhargava, Etsy",https://youtu.be/2e9ANoOEn28
2026-07-26,"Build AI Systems for Discernment, Not Approval",Angel Ortmann Lee,Duolingo,"Build AI Systems for Discernment, Not Approval - Angel Ortmann Lee, Duolingo",https://youtu.be/CDqzWpwkSls
2026-07-26,Respect The Process,Andrew Dumit,Watershed Technology Inc.,"Respect The Process - Andrew Dumit, Watershed Technology Inc.",https://youtu.be/CLttOU7n6sI
2026-07-26,The Pipeline Is Dead,Iris ten Teije,Sky Valley Ambient Computing,"The Pipeline Is Dead - Iris ten Teije, Sky Valley Ambient Computing",https://youtu.be/bRnoEpoK5m4
2026-07-26,500 people vibe-coded for 30 days. I was one of them.,Sanja Grbic,Automattic,"500 people vibe-coded for 30 days. I was one of them. - Sanja Grbic, Automattic",https://youtu.be/UcYoMg-8-L8
2026-07-26,SWE-Marathon: Evaluating Coding Agents at Billion-Token Scale,Rishi Desai,Abundant AI,"SWE-Marathon: Evaluating Coding Agents at Billion-Token Scale - Rishi Desai, Abundant AI",https://youtu.be/Rx8f05JI_WA
2026-07-26,Field Guide to Fable,Thariq Shihipar,Anthropic,"Field Guide to Fable — Thariq Shihipar, Anthropic",https://youtu.be/9fubhllmsBU
2026-07-26,The Missing Layer After Launch,Raphael Kalandadze,Wandero AI,"The Missing Layer After Launch - Raphael Kalandadze, Wandero AI",https://youtu.be/kZsf_Sfm7RU
2026-07-26,Continual Learning for AI Agents: From Failures to Durable Improvements,Soheil Feizi,RELAI,"Continual Learning for AI Agents: From Failures to Durable Improvements - Soheil Feizi, RELAI",https://youtu.be/2IxD9OB3XuQ
2026-07-26,"MCP Apps: Primitives, discovery, and the Future of Software",Pietro Zullo,"Manufact, Inc","MCP Apps: Primitives, discovery, and the Future of Software - Pietro Zullo, Manufact, Inc",https://youtu.be/sAOBXCDiDOs
2026-07-26,Your AI Product Will Fail Unless You Can Explain It,Veronica Hylak,Hey AI,"Your AI Product Will Fail Unless You Can Explain It - Veronica Hylak, Hey AI",https://youtu.be/d_Ftrl3vfV0
2026-07-26,The Prompt Is Still a Punch Card,Ted Johnson,JoinIn AI,"The Prompt Is Still a Punch Card - Ted Johnson, JoinIn AI",https://youtu.be/hVJOnuhFmTA
2026-07-26,Building Great Agent Skills: The Missing Manual,,,Building Great Agent Skills: The Missing Manual,https://youtu.be/UNzCG3lw6O0
2026-07-26,"Frontier results, on device",RL Nabors,Arize,"Frontier results, on device - RL Nabors, Arize",https://youtu.be/fWXJM-J0ZB8
2026-07-26,The Future Is Domain-Specific Agents,Justin Schroeder,StandardAgents,"The Future Is Domain-Specific Agents - Justin Schroeder, StandardAgents",https://youtu.be/spNAUEgq_A8
2026-07-26,You Can't Prompt the Room: The Last Skill AI Won't Replace,Balázs Horváth,VisualLabs,"You Can't Prompt the Room: The Last Skill AI Won't Replace - Balázs Horváth, VisualLabs",https://youtu.be/6bmM45jkMDY
2026-07-26,Deterministic Infra for Non-Deterministic AI Agents,Nishant Gupta,Meta Superintelligence Labs,"Deterministic Infra for Non-Deterministic AI Agents - Nishant Gupta, Meta Superintelligence Labs",https://youtu.be/APh1Vx0oLmQ
2026-07-26,The Agentic AI Engineer,Benedikt Sanftl,Mutagent,"The Agentic AI Engineer - Benedikt Sanftl, Mutagent",https://youtu.be/pSto5YaNGUo
2026-07-26,The Prompt is the Platform,Dominik Tornow,Resonate HQ,"The Prompt is the Platform - Dominik Tornow, Resonate HQ",https://youtu.be/DqtmZE6Hl0g
2026-07-26,Using RL Agent to Detect and Remediate ETL Pipeline Failures,Anna Marie Benzon,,Using RL Agent to Detect and Remediate ETL Pipeline Failures - Anna Marie Benzon,https://youtu.be/LrGCT7G_rU8
2026-07-26,Your Agent Failed in Prod. Good Luck Reproducing It.,Tisha Chawla & Susheem Koul,Microsoft,"Your Agent Failed in Prod. Good Luck Reproducing It. - Tisha Chawla & Susheem Koul, Microsoft",https://youtu.be/Lc8zRh9muoY
2026-07-26,"Voice In, Visuals Out: The Agony and the Ecstasy",Allen Pike,Forestwalk Labs,"Voice In, Visuals Out: The Agony and the Ecstasy - Allen Pike, Forestwalk Labs",https://youtu.be/65X0pQ6Lmbg
2026-07-26,AI-Driven Multi-Document Correlation for Financial Compliance,Varsha Shah,Independent,"AI-Driven Multi-Document Correlation for Financial Compliance - Varsha Shah, Independent",https://youtu.be/Iwe_RY-fYgI
2026-07-26,We Cut 94% of AI Coding Tokens With a Local Code Index,Rajkumar Sakthivel,Tesco,"We Cut 94% of AI Coding Tokens With a Local Code Index - Rajkumar Sakthivel, Tesco",https://youtu.be/dRmWYHuIJxM
2026-07-26,Your Agent Is Wasting Tokens and You Don't Know It,Erik Hanchett,AWS,"Your Agent Is Wasting Tokens and You Don't Know It - Erik Hanchett, AWS",https://youtu.be/uiP88SpCi1Q
2026-07-26,OpenClaw in Your Hand: Building a Physical AI Terminal,Lech Kalinowski,Callstack,"OpenClaw in Your Hand: Building a Physical AI Terminal - Lech Kalinowski, Callstack",https://youtu.be/akk6KRlcwW4
2026-07-26,"Bypassing the Multimodal Tax: Hybrid RAG, SQL RRF & UI Telemetry",Abed Matini,Ogilvy,"Bypassing the Multimodal Tax: Hybrid RAG, SQL RRF & UI Telemetry - Abed Matini, Ogilvy",https://youtu.be/Akm1sqvWG4A
2026-07-26,AI System Design: From Idea to Production,Apoorva Joshi,MongoDB,"AI System Design: From Idea to Production - Apoorva Joshi, MongoDB",https://youtu.be/T0HhO4YtTfE
2026-07-26,When All Context Matters: Extended Cache Augmented Generation,Luis Romero-Sevilla,Orbis,"When All Context Matters: Extended Cache Augmented Generation - Luis Romero-Sevilla, Orbis",https://youtu.be/XovaGv4f39A
2026-07-26,Research to Reality: Bringing Frontier ML Research to Production,Vaidas Razgaitis,Higharc,"Research to Reality: Bringing Frontier ML Research to Production - Vaidas Razgaitis, Higharc",https://youtu.be/OXMMN-XbxwA
2026-07-26,Building an Autonomous Engineering Org,Angie Jones,Agentic AI Foundation,"Building an Autonomous Engineering Org - Angie Jones, Agentic AI Foundation",https://youtu.be/whue9_YquGA
2026-07-26,HTML is All You Need (for Agents to Make Graphics),Amol Kapoor,Nori,"HTML is All You Need (for Agents to Make Graphics) - Amol Kapoor, Nori",https://youtu.be/JRTAtZ5iBkU
2026-07-26,Using Spec-Driven Development for Production Workflows,Erik Hanchett,AWS,"Using Spec-Driven Development for Production Workflows - Erik Hanchett, AWS",https://youtu.be/IddXPepIAS4
2026-07-26,User Signal Dies at the Retrieval Boundary,Sonam Pankaj,StarlightSearch,"User Signal Dies at the Retrieval Boundary - Sonam Pankaj, StarlightSearch",https://youtu.be/Jx4ZFEAq6bY
2026-07-26,Structuring the Unstructured,Cedric Clyburn,Red Hat,"Structuring the Unstructured - Cedric Clyburn, Red Hat",https://youtu.be/-x5GEVnkuRw
2026-07-26,Agents Building Agents,Alfonso Graziano,Nearform,"Agents Building Agents - Alfonso Graziano, Nearform",https://youtu.be/aHhB3sjGjkI
2026-07-26,Browser Agents Don't Need Better Models. They Need Better Eyes.,Kushan Raj,ARK,"Browser Agents Don't Need Better Models. They Need Better Eyes. - Kushan Raj, ARK",https://youtu.be/JnubYCYunk8
2026-07-26,The 100-Tool Agent Is a Trap,Sohail Shaikh & Ankush Rastogi,Prosodica,"The 100-Tool Agent Is a Trap - Sohail Shaikh & Ankush Rastogi, Prosodica",https://youtu.be/vh2VGuQ3zhY
2026-07-26,Stop Writing Tone Instructions. Layer Them.,Isadora Martin-Dye,Isadora & Co,"Stop Writing Tone Instructions. Layer Them. - Isadora Martin-Dye, Isadora & Co",https://youtu.be/ij-AU9dpJjc
2026-07-26,"Turn 10,994 Notes Into Memory",Paul Iusztin,"Decoding AI & Louis-François Bouchard, Towards AI","Turn 10,994 Notes Into Memory - Paul Iusztin, Decoding AI & Louis-François Bouchard, Towards AI",https://youtu.be/ZRM_TfEZcIo
2026-07-26,Agents in Production: How OpenGov Built and Scaled OG Assist,Gabe De Mesa,OpenGov,"Agents in Production: How OpenGov Built and Scaled OG Assist - Gabe De Mesa, OpenGov",https://youtu.be/4uFVSLgD2Q4
2026-07-26,A Genius With Amnesia,Victor Savkin,Nx,"A Genius With Amnesia - Victor Savkin, Nx",https://youtu.be/jVjt-2g8NMY
2026-07-26,The Log Is The Agent,Ishaan Sehgal,Omnara,"The Log Is The Agent - Ishaan Sehgal, Omnara",https://youtu.be/UPwGaM2MKHY
2026-07-26,Recursive Coding Agents,Raymond Weitekamp,OpenProse,"Recursive Coding Agents - Raymond Weitekamp, OpenProse",https://youtu.be/3hXJI2q0Jz8
2026-07-26,Production Evals For Agentic AI Systems,Nishant Gupta,Meta Superintelligence Labs,"Production Evals For Agentic AI Systems - Nishant Gupta, Meta Superintelligence Labs",https://youtu.be/vljxQZfJ9wY
2026-07-26,"Build Systems, Not Code",Angie Jones,Agentic AI Foundation,"Build Systems, Not Code - Angie Jones, Agentic AI Foundation",https://youtu.be/ZD9-4fW2HhM
2026-07-26,The Miranda Hypothesis: How Hamilton Poisoned Persona Evals,Jacob E. Thomas,Results Gen,"The Miranda Hypothesis: How Hamilton Poisoned Persona Evals - Jacob E. Thomas, Results Gen",https://youtu.be/IJXjTLPzvAU
2026-06-26,6 Things to Know about AIE World's Fair 2026,,,6 Things to Know about AIE World's Fair 2026,https://youtu.be/0S8xe9ftGTM
2026-06-26,The Production AI Playbook: Deploying Agents at Enterprise Scale,Sandipan Bhaumik,Databricks,"The Production AI Playbook: Deploying Agents at Enterprise Scale — Sandipan Bhaumik, Databricks",https://youtu.be/ObTPqBGsEbA
2026-06-26,"Your Agent's Biggest Lie: ""I Searched the Web""",Rafael Levi,Bright Data,"Your Agent's Biggest Lie: ""I Searched the Web"" — Rafael Levi, Bright Data",https://youtu.be/btxGmN8RvNU
2026-06-26,You Might Not Need 50 Diffusion Steps,Ziv Ilan,Nvidia,"You Might Not Need 50 Diffusion Steps — Ziv Ilan, Nvidia",https://youtu.be/gHs5ZiY80PM
2026-06-26,Why MCP and ChatGPT Apps Use Double Iframes,Frédéric Barthelet,Alpic,"Why MCP and ChatGPT Apps Use Double Iframes — Frédéric Barthelet, Alpic",https://youtu.be/c-2eEv2ou7Y
2026-06-26,Why Can't Anyone Answer Questions About the Business?,Garrett Galow,WorkOS,"Why Can't Anyone Answer Questions About the Business? — Garrett Galow, WorkOS",https://youtu.be/iUWwcG-C8OU
2026-06-26,The agent-ready web: Simplify user actions with WebMCP,Tara Agyemang,Google,"The agent-ready web: Simplify user actions with WebMCP — Tara Agyemang, Google",https://youtu.be/ghJmWQCIHRM
2026-06-26,"Your Attention Is the Bottleneck, Not Your Agents",Zack Proser,WorkOS,"Your Attention Is the Bottleneck, Not Your Agents — Zack Proser, WorkOS",https://youtu.be/so9l_MwS2yg
2026-06-26,"Stop Making Models Bigger, Make Them Behave",Kobie Crawford,Snorkel,"Stop Making Models Bigger, Make Them Behave — Kobie Crawford, Snorkel",https://youtu.be/TNwJ1LMiENk
2026-06-26,Sovereign Escape Velocity: Ownership w Open Models,Gus Martins,"& Ian Ballantyne, Google DeepMind","Sovereign Escape Velocity: Ownership w Open Models — Gus Martins, & Ian Ballantyne, Google DeepMind",https://youtu.be/SS-A8sE7hkw
2026-06-26,Self Driving Products: Product Signals to Pull Requests,Joshua Snyder,PostHog,"Self Driving Products: Product Signals to Pull Requests — Joshua Snyder, PostHog",https://youtu.be/zMiSRliEzv4
2026-06-26,GPU Cloud Deployment Without Leaving Your IDE,Audry Hsu,RunPod,"GPU Cloud Deployment Without Leaving Your IDE — Audry Hsu, RunPod",https://youtu.be/zDGHt0LB-dA
2026-06-26,"RAG is dead, right??",Kuba Rogut,Turbopuffer,"RAG is dead, right?? — Kuba Rogut, Turbopuffer",https://youtu.be/UM6sFg_jdlE
2026-06-26,From Transcription to Live Music: Gemini's Audio Stack,Thor Schaeff,Google DeepMind,"From Transcription to Live Music: Gemini's Audio Stack — Thor Schaeff, Google DeepMind",https://youtu.be/Bc6Ojl2XS1w
2026-06-26,2026 AI Engineer Vibe Reel,,,2026 AI Engineer Vibe Reel,https://youtu.be/gUMwt4-5kn0
2026-06-26,Road to 5 Million Tokens: Breaking Barriers in Long Context Training,Max Ryabinin,Together AI,"Road to 5 Million Tokens: Breaking Barriers in Long Context Training — Max Ryabinin, Together AI",https://youtu.be/TUnPNY4E2fw
2026-06-26,Why More Context Makes Your Agent Dumber and What to Do About It,Nupur Sharma,Qodo,"Why More Context Makes Your Agent Dumber and What to Do About It — Nupur Sharma, Qodo",https://youtu.be/EcqMYoIV57A
2026-06-26,Why Eval++ Is the Next Great Compute Primitive,Sunil Pai & Matt Carey,Cloudflare,"Why Eval++ Is the Next Great Compute Primitive — Sunil Pai & Matt Carey, Cloudflare",https://youtu.be/SKDJo2CopRs
2026-06-26,"LLM Observability, Evaluation, Experimentation Platform",Dat Ngo,Arize,"LLM Observability, Evaluation, Experimentation Platform — Dat Ngo, Arize",https://youtu.be/JsCCrBF7F1g
2026-06-26,Under 5 minutes to a deployed LLM endpoint,Audry Hsu,RunPod,"Under 5 minutes to a deployed LLM endpoint — Audry Hsu, RunPod",https://youtu.be/ILdE7FaAjVA
2026-06-26,From MCP to Scale: Pipelines That Build Themselves,Rafael Levi,Bright Data,"From MCP to Scale: Pipelines That Build Themselves — Rafael Levi, Bright Data",https://youtu.be/zTZ0qunQXnM
2026-06-26,Building Interactive UIs in VS Code with MCP Apps,Marlene Mhangami & Liam Hampton,GitHub,"Building Interactive UIs in VS Code with MCP Apps — Marlene Mhangami & Liam Hampton, GitHub",https://youtu.be/_xIwFcnHqp4
2026-06-26,"Evals Are Broken, Use Them Anyway",Ara Khan,Cline,"Evals Are Broken, Use Them Anyway — Ara Khan, Cline",https://youtu.be/QuuIywMG4s8
2026-06-26,Building safe Payment Infrastructure for the autonomous economy,Steve Kaliski,Stripe,"Building safe Payment Infrastructure for the autonomous economy — Steve Kaliski, Stripe",https://youtu.be/KLSuFPj2ld0
2026-06-26,Building Agent Interfaces: Lessons from Chrome DevTools (MCP) for Agents,Michael Hablich,Google,"Building Agent Interfaces: Lessons from Chrome DevTools (MCP) for Agents — Michael Hablich, Google",https://youtu.be/_B4Pv9ttFgY
2026-06-26,Dark Factory: OpenClaw Ships Faster Than You Can Read the Diff,Vincent Koc,OpenClaw,"Dark Factory: OpenClaw Ships Faster Than You Can Read the Diff — Vincent Koc, OpenClaw",https://youtu.be/pmoDeA3RBZY
2026-06-26,Beyond Transcription: Building Voice AI That Understands Conversations,Hervé Bredin,pyannoteAI,"Beyond Transcription: Building Voice AI That Understands Conversations — Hervé Bredin, pyannoteAI",https://youtu.be/mFLlVpnGpds
2026-06-26,Text Diffusion,Brendan O’Donoghue,Google DeepMind,"Text Diffusion — Brendan O’Donoghue, Google DeepMind",https://youtu.be/r305-aQTaU0
2026-06-26,The Art & Science of Benchmarking Agents,Vincent Chen,Snorkel AI,"The Art & Science of Benchmarking Agents — Vincent Chen, Snorkel AI",https://youtu.be/iNkFlCiij0U
2026-06-26,SWE-rebench: Lessons from Evaluating Coding Agents,Ibragim Badertdinov,Nebius,"SWE-rebench: Lessons from Evaluating Coding Agents — Ibragim Badertdinov, Nebius",https://youtu.be/wcUJWP6WpGM
2026-06-26,Beyond Components: Designing Generative UI for MCP Apps,Ruben Casas,Postman,"Beyond Components: Designing Generative UI for MCP Apps — Ruben Casas, Postman",https://youtu.be/hCMrEfPG2Yg
2026-06-26,Benchmarking semantic code retrieval on Claude Code,Kuba Rogut,Turbopuffer,"Benchmarking semantic code retrieval on Claude Code — Kuba Rogut, Turbopuffer",https://youtu.be/zKk7sDMGDEQ
2026-06-26,"BDD, ADR, PRD, WTF: Capturing Decisions for Humans and AI Alike",Michal Cichra,Safe Intelligence,"BDD, ADR, PRD, WTF: Capturing Decisions for Humans and AI Alike — Michal Cichra, Safe Intelligence",https://youtu.be/504PvfXou5Y
2026-06-26,What Lies Beneath the API,Benjamin Cowen,Modal,"What Lies Beneath the API — Benjamin Cowen, Modal",https://youtu.be/HvZXAOZ3iv8
2026-06-26,Task Fidelity Scaling Laws,Kobie Crawdord,Snorkel,"Task Fidelity Scaling Laws — Kobie Crawdord, Snorkel",https://youtu.be/YYH0DMQr30A
2026-06-26,How Lovable self-improves every hour,Benjamin Verbeek,Lovable,"How Lovable self-improves every hour — Benjamin Verbeek, Lovable",https://youtu.be/KA5kPbdkK2E
2026-06-26,20 days of compute vs 7 hours: rethinking what state-of-the-art means,Bertrand Charpentier,Pruna,"20 days of compute vs 7 hours: rethinking what state-of-the-art means — Bertrand Charpentier, Pruna",https://youtu.be/hqHC6Z_lXyo
2026-06-26,What if the network was the sandbox?,Remy Guercio,Tailscale,"What if the network was the sandbox? — Remy Guercio, Tailscale",https://youtu.be/BM2JX9hqsVQ
2026-06-26,How to talk to statues,Joe Reeve,ElevenLabs,"How to talk to statues — Joe Reeve, ElevenLabs",https://youtu.be/u-rJwPPU3QA
2026-06-26,Can LLMs generate Enterprise Quality Code?,Prasenjit Sarkar,Sonar,"Can LLMs generate Enterprise Quality Code? — Prasenjit Sarkar, Sonar",https://youtu.be/NuePCNMpWGc
2026-06-26,"Engineering voice agents: Latency, quality, and scale",Rishabh Bhargava,Together AI,"Engineering voice agents: Latency, quality, and scale — Rishabh Bhargava, Together AI",https://youtu.be/N7b1PJc7SFc
2026-06-26,Spec-Driven Testing for Agents With A Brain the Size of A Planet,Steven Willmott,SafeIntelligence,"Spec-Driven Testing for Agents With A Brain the Size of A Planet — Steven Willmott, SafeIntelligence",https://youtu.be/UQKg0td-Bf4
2026-06-26,How I deleted 95% of my agent skills and got better results,Nick Nisi,WorkOS,"How I deleted 95% of my agent skills and got better results — Nick Nisi, WorkOS",https://youtu.be/vy7o1g2iHY8
2026-06-26,How We Built Zeta2: Training an Edit Prediction Model in Production,Ben Kunkle,Zed,"How We Built Zeta2: Training an Edit Prediction Model in Production — Ben Kunkle, Zed",https://youtu.be/phchDt63qAA
2026-06-26,Why (Senior) Engineers Struggle to Build AI Agents,Philipp Schmid,Google DeepMind,"Why (Senior) Engineers Struggle to Build AI Agents — Philipp Schmid, Google DeepMind",https://youtu.be/3_gYbhABcAE
2026-06-26,Reachy Mini: the $300 open source robot you can actually hack,Andres Marafioti,Hugging Face,"Reachy Mini: the $300 open source robot you can actually hack — Andres Marafioti, Hugging Face",https://youtu.be/0jeZfjJMfmo
2026-06-26,"Why your agents need decision traces, not just documents",Zach Blumenfeld,Neo4j,"Why your agents need decision traces, not just documents — Zach Blumenfeld, Neo4j",https://youtu.be/B9h9ovW5H9U
2026-06-26,Reverse engineering a Viking VOIP phone protocol with Claude Code,Boris Starkov,Eleven Labs,"Reverse engineering a Viking VOIP phone protocol with Claude Code — Boris Starkov, Eleven Labs",https://youtu.be/V-L0INGTEOg
2026-06-26,How agent o11y differs from traditional o11y,Phil Hetzel,Braintrust,"How agent o11y differs from traditional o11y — Phil Hetzel, Braintrust",https://youtu.be/XBaznoTRDFI
2026-06-26,"Most Enterprise Agentic Projects Are Doomed, Here's Why",Jess Grogan-Avignon & Jack Wang,Accenture,"Most Enterprise Agentic Projects Are Doomed, Here's Why — Jess Grogan-Avignon & Jack Wang, Accenture",https://youtu.be/AGkzpxMdPn8
2026-06-26,"Context Graphs for Explainable, Decision-Aware AI Agents",Andreas Kollegger & Zaid Zaim,Neo4j,"Context Graphs for Explainable, Decision-Aware AI Agents — Andreas Kollegger & Zaid Zaim, Neo4j",https://youtu.be/abvQEhvRI_c
2026-06-26,The AI Skill I Rely On Daily,Priscila Andre de Oliveira,Sentry,"The AI Skill I Rely On Daily — Priscila Andre de Oliveira, Sentry",https://youtu.be/li0SaBt9RDM
2026-06-26,Why Rust is the Ideal Language for Vibe-Coding,Daniel Szoke,Sentry,"Why Rust is the Ideal Language for Vibe-Coding — Daniel Szoke, Sentry",https://youtu.be/ugUeZ8-b-u0
2026-06-26,The maturity phases of running evals,Phil Hetzel,Braintrust,"The maturity phases of running evals — Phil Hetzel, Braintrust",https://youtu.be/FB-MLPhL9Ms
2026-06-26,Run Frontier AI at Home,Alex Cheema,EXO Labs,"Run Frontier AI at Home — Alex Cheema, EXO Labs",https://youtu.be/ESbWpPT_9-o
2026-06-26,What the Best Agents Share,Mardu Swanepoel,Flinn AI,"What the Best Agents Share — Mardu Swanepoel, Flinn AI",https://youtu.be/7CrPrHgoEYk
2026-06-26,Stop babysitting your agents...,Brandon Waselnuk,Unblocked,"Stop babysitting your agents... — Brandon Waselnuk, Unblocked",https://youtu.be/BiG2ssibKGc
2026-06-26,"Agentic Evaluations at Scale, For Everybody",Nicholas Kang & Michael Aaron,Google DeepMind,"Agentic Evaluations at Scale, For Everybody — Nicholas Kang & Michael Aaron, Google DeepMind",https://youtu.be/Ubwb6NzegyA
2026-05-26,"Does GenAI ""belong"" to data scientists?",Phil Hetzel,Braintrust,"Does GenAI ""belong"" to data scientists? — Phil Hetzel, Braintrust",https://youtu.be/NKwIX3CiRgU
2026-05-26,Bounded Autonomy: Between Free Will and Determinism,Angus J. McLean,Oliver,"Bounded Autonomy: Between Free Will and Determinism — Angus J. McLean, Oliver",https://youtu.be/t4359sKBu4w
2026-05-26,How Google DeepMind Runs Agents at Scale,KP Sawhney & Ian Ballantyne,Google DeepMind,"How Google DeepMind Runs Agents at Scale — KP Sawhney & Ian Ballantyne, Google DeepMind",https://youtu.be/7gujZrJ9L5I
2026-05-26,Let's Talk About FOMAT: Fear of Missing Agent Time,Michael Richman,Cmd+Ctrl,"Let's Talk About FOMAT: Fear of Missing Agent Time — Michael Richman, Cmd+Ctrl",https://youtu.be/W-SX_srBa3Y
2026-05-26,Scaling the Next Paradigm of Heterogeneous Intelligence,Adrian Bertagnoli,Callosum,"Scaling the Next Paradigm of Heterogeneous Intelligence — Adrian Bertagnoli, Callosum",https://youtu.be/WRBNDpUhsJQ
2026-05-26,Introducing WebMCP: Agents in the Browser,RL Nabors,,Introducing WebMCP: Agents in the Browser — RL Nabors,https://youtu.be/LMbeDEQO6QM
2026-05-26,The Missing Primitive for Agent Swarms,Lou Bichard,Ona,"The Missing Primitive for Agent Swarms — Lou Bichard, Ona",https://youtu.be/5Sui_OnSRlY
2026-05-26,Prompt to Pipeline: Building with Google's Gen Media Stack,Paige & Guillaume,Google DeepMind,"Prompt to Pipeline: Building with Google's Gen Media Stack — Paige & Guillaume, Google DeepMind",https://youtu.be/ns9f1fjLD7Y
2026-05-26,Fast Models Need Slow Developers,Sarah Chieng,Cerebras,"Fast Models Need Slow Developers — Sarah Chieng, Cerebras",https://youtu.be/TeGsFFNqRLA
2026-05-26,Lobster Trap: OpenClaw in Containers from Local to K8s and Back,Sally Ann O'Malley,Red Hat,"Lobster Trap: OpenClaw in Containers from Local to K8s and Back — Sally Ann O'Malley, Red Hat",https://youtu.be/F1DYkY1BlfM
2026-05-26,Gemini Nano on device,Florina Muntenescu & Oli Gaymond,Google DeepMind,"Gemini Nano on device — Florina Muntenescu & Oli Gaymond, Google DeepMind",https://youtu.be/owH1f0N-keY
2026-05-26,Cooking with Agents in VS Code,Liam Hampton,Microsoft,"Cooking with Agents in VS Code — Liam Hampton, Microsoft",https://youtu.be/dyHpnnlkTc8
2026-05-26,Scaling Agents on Kubernetes with acpx and ACP,Onur Solmaz,OpenClaw,"Scaling Agents on Kubernetes with acpx and ACP — Onur Solmaz, OpenClaw",https://youtu.be/VaS2h-dY1-4
2026-05-26,Your Coding Agent Should Do AI System Engineering,Ben Burtenshaw,Hugging Face,"Your Coding Agent Should Do AI System Engineering — Ben Burtenshaw, Hugging Face",https://youtu.be/JomVvNDjGb8
2026-05-26,Any-to-Any: Building Native Multimodal Agents,Patrick Löber,Google DeepMind,"Any-to-Any: Building Native Multimodal Agents - Patrick Löber, Google DeepMind",https://youtu.be/GIRpQEfYf3U
2026-05-26,Skill issue: Lessons from skilling up coding agents to use Langfuse,Marc Klingen,Clickhouse,"Skill issue: Lessons from skilling up coding agents to use Langfuse - Marc Klingen, Clickhouse",https://youtu.be/vNCY9kXXyDQ
2026-05-26,From 46% to 90%: Fine-Tuning Tiny LLMs for On-Device Agents,Cormac Brick,Google,"From 46% to 90%: Fine-Tuning Tiny LLMs for On-Device Agents — Cormac Brick, Google",https://youtu.be/-TiET_K-E_g
2026-05-26,What Breaks When You Build AI Under Sovereignty Constraints,Bilge Yücel,deepset GmbH,"What Breaks When You Build AI Under Sovereignty Constraints - Bilge Yücel, deepset GmbH",https://youtu.be/x2bH0RKPgdc
2026-05-26,Don't Build Slop (4 Levels of AI Agent Maturity),Ara Khan,Cline,"Don't Build Slop (4 Levels of AI Agent Maturity) - Ara Khan, Cline",https://youtu.be/yUmS-F9IX90
2026-05-26,Personalization in the Era of LLMs,Shivam Verma,Spotify,"Personalization in the Era of LLMs - Shivam Verma, Spotify",https://youtu.be/5YSJEP0HWzM
2026-05-26,Rewiring the State,"Eoin Mulgrew, No. 10",Downing Street,"Rewiring the State — Eoin Mulgrew, No. 10 (Downing Street)",https://youtu.be/ObNKGf9YR0g
2026-05-26,Let's go Bananas with GenMedia,Guillaume Vernade,Google DeepMind,"Let's go Bananas with GenMedia — Guillaume Vernade, Google DeepMind",https://youtu.be/BcWFc3H7Khg
2026-05-26,Anthropic Workshop: Build Agents That Run for Hours,Ash Prabaker & Andrew Wilson,,Anthropic Workshop: Build Agents That Run for Hours — Ash Prabaker & Andrew Wilson,https://youtu.be/mR-WAvEPRwE
2026-05-26,Harnesses in AI: A Deep Dive,Tejas Kumar,IBM,"Harnesses in AI: A Deep Dive — Tejas Kumar, IBM",https://youtu.be/C_GG5g38vLU
2026-05-26,Fighting AI with AI,Lawrence Jones,Incident,"Fighting AI with AI — Lawrence Jones, Incident",https://youtu.be/L2r6vLlLgs8
2026-05-26,Why Your AI UX Is Broken (and It's Not the Model's Fault),Mike Christensen,Ably,"Why Your AI UX Is Broken (and It's Not the Model's Fault) — Mike Christensen, Ably",https://youtu.be/YNJvm7t3yq8
2026-05-26,Beyond Code Coverage: Functionality Testing with Playwright MCP,Marlene Mhangami,Microsoft,"Beyond Code Coverage: Functionality Testing with Playwright MCP — Marlene Mhangami, Microsoft",https://youtu.be/FWEInOtngmM
2026-05-26,How to Leverage Domain Expertise,Chris Lovejoy,Notius Labs,"How to Leverage Domain Expertise — Chris Lovejoy, Notius Labs",https://youtu.be/kfSDc2eVLo4
2026-05-26,Connecting the Dots with Context Graphs,Stephen Chin,Neo4j,"Connecting the Dots with Context Graphs — Stephen Chin, Neo4j",https://youtu.be/eW_vxrjvERk
2026-05-26,Agents Don't Do Standups: Building the Post-Engineer Engineering Org,Mike Spitz,PFF,"Agents Don't Do Standups: Building the Post-Engineer Engineering Org — Mike Spitz, PFF",https://youtu.be/VMemhtlsoNk
2026-05-26,Combine Skills and MCP to Close the Context Gap,Pedro Rodrigues,Supabase,"Combine Skills and MCP to Close the Context Gap — Pedro Rodrigues, Supabase",https://youtu.be/JT3OzDKrucU
